,Product Details,ASIN,Brand,Price,Sales,Revenue,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
0,"Lindt Lindor Milk Chocolate Truffles Box - The Ideal Gift - Chocolate Balls with a Smooth Melting Filling, 200 g",B00NW479QO,Lindt,3.5,13466,47131,3,2.62,30,5,44069,12,868,Amazon,Food Cupboard,Small Oversize,AMZ,4.2x6.3x3.1,0.51,9/26/2014
1,"Andrex Toilet Roll - Gentle Clean Toilet Paper, 45 Toilet Rolls",B004OCO20E,Andrex,18.28,13338,243819,2,8.38,30,5,40397,5,830,Amazon,Grocery,Large Oversize,AMZ,13.5x21.8x13.0,9.77,2/17/2011
2,Baileys Original Irish Cream Liqueur 1L,B0049NYI7K,BAILEYS,9.99,11194,111828,4,3.93,22,5,3827,6,235,Amazon,"Beer, Wine & Spirits",Large Oversize,AMZ,3.7x12.2x3.7,3.73,10/21/2010
3,"Tassimo Kenco Americano Grande Coffee Pods (Pack of 5, Total 80 Coffee Capsules)",B016DEGFWI,Tassimo,14.87,13492,200626,2,5.19,11,5,28800,5,466,Amazon,Fresh & Chilled,Large Oversize,AMZ,6.8x15.5x6.2,3.26,08-04-2010
4,"Tassimo Costa Gingerbread Latte Coffee Pods (Pack of 5, Total 40 Coffee Capsules)",B07JVF2FCV,Tassimo,45,13377,601965,6,11.03,1,5,27494,9,223,Bountyville,Drinks,Large Oversize,FBA,6.7x15.4x6.1,4.74,09-03-2018
5,"Regina XXL Kitchen Roll, 8 Rolls, 600 Extra Large Sheets",B07T2SCHM7,Regina,8,11983,95864,5,6.16,21,5,11120,6,701,,Grocery,Large Oversize,MFN,10.6x34.6x5.1,5.34,05-01-2020
6,"Ferrero Rocher Chocolate Hamper Christmas Gifts Set Sweets Hazelnut and Milk Chocolate Pralines, 200g, Pack of 16",B0177IQTXO,Ferrero,3.75,2668,10005,7,2.64,2,5,29424,14,946,Amazon,Food Cupboard,Large Oversize,AMZ,3.0x5.6x2.8,0.57,11-12-2015
7,Lindt Milk Advent Calendar 160g - A selection of 24 finest Lindt Milk chocolates for a festive and magical countdown until Christmas,B00654DUJI,Lindt,5,15683,78415,1,2.74,130,5,3573,11,142,Amazon,Food Cupboard,Large Oversize,AMZ,10.7x13.6x1.5,0.64,1/24/2011
8,"Regina Blitz Household Towel, 8 Rolls, 560 Super-Sized Sheets, Triple Layered Strength",B01JS6YLQK,Regina,11,13468,148148,9,7.22,18,5,28675,6,356,Amazon,Grocery,Large Oversize,AMZ,13.8x22.3x11.5,6.31,07-06-2016
9,"DYLON Washing Machine Fabric Dye Pod for Clothes & Soft Furnishings, 350g – Deep Violet",B0725XG88N,DYLON,5,23288,116440,2,2.74,34,5,1368,5,0,Amazon,Home & Kitchen,Large Oversize,AMZ,3.2x3.7x2.9,0.71,06-05-2017
